seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	53015547	53015743	197	*	Intron (ENSMUST00000191441.1/ENSMUSG00000043629.12, intron 1 of 1)	1	52925183	53020179	94997	2	ENSMUSG00000043629.12	ENSMUST00000191441.1	4436
chr1	54118188	54118549	362	*	Intron (ENSMUST00000120904.7/ENSMUSG00000042807.15, intron 1 of 28)	1	53806876	54194048	387173	2	ENSMUSG00000042807.15	ENSMUST00000120904.7	75499
chr1	54122155	54123257	1103	*	Intron (ENSMUST00000120904.7/ENSMUSG00000042807.15, intron 1 of 28)	1	53806876	54194048	387173	2	ENSMUSG00000042807.15	ENSMUST00000120904.7	70791
chr1	54707412	54708488	1077	*	Intron (ENSMUST00000190007.6/ENSMUSG00000101674.6, intron 1 of 4)	1	54645340	54926387	281048	2	ENSMUSG00000052331.14	ENSMUST00000179030.7	217899
chr1	54713625	54713865	241	*	Intron (ENSMUST00000190007.6/ENSMUSG00000101674.6, intron 1 of 4)	1	54645340	54926387	281048	2	ENSMUSG00000052331.14	ENSMUST00000179030.7	212522
chr1	54896780	54897034	255	*	Intron (ENSMUST00000179030.7/ENSMUSG00000052331.14, intron 1 of 27)	1	54645340	54926387	281048	2	ENSMUSG00000052331.14	ENSMUST00000179030.7	29353
chr1	54898403	54898605	203	*	Intron (ENSMUST00000179030.7/ENSMUSG00000052331.14, intron 1 of 27)	1	54645340	54926387	281048	2	ENSMUSG00000052331.14	ENSMUST00000179030.7	27782
chr1	55160737	55161079	343	*	Promoter (<=1kb)	1	55160747	55161053	307	2	ENSMUSG00000061863.6	ENSMUST00000161440.1	0
chr1	55438428	55438577	150	*	Intron (ENSMUST00000042986.9/ENSMUSG00000038349.10, intron 1 of 5)	1	55405921	55754285	348365	1	ENSMUSG00000038349.10	ENSMUST00000042986.9	32507
chr1	59765467	59765617	151	*	Promoter (2-3kb)	1	59763400	59879014	115615	1	ENSMUSG00000067336.6	ENSMUST00000087435.6	2067
chr1	59766847	59767003	157	*	Intron (ENSMUST00000087435.6/ENSMUSG00000067336.6, intron 1 of 12)	1	59763400	59879014	115615	1	ENSMUSG00000067336.6	ENSMUST00000087435.6	3447
chr1	59789315	59789575	261	*	Intron (ENSMUST00000087435.6/ENSMUSG00000067336.6, intron 1 of 12)	1	59763400	59879014	115615	1	ENSMUSG00000067336.6	ENSMUST00000087435.6	25915
chr1	63203503	63204433	931	*	Intron (ENSMUST00000141027.1/ENSMUSG00000086730.2, intron 1 of 1)	1	63182691	63214543	31853	2	ENSMUSG00000046856.13	ENSMUST00000050536.13	10110
chr1	64053210	64053359	150	*	Intron (ENSMUST00000114086.7/ENSMUSG00000025959.13, intron 2 of 3)	1	64029447	64121491	92045	2	ENSMUSG00000025959.13	ENSMUST00000114086.7	68132
chr1	64305304	64306321	1018	*	Promoter (2-3kb)	1	64185991	64303043	117053	2	ENSMUSG00000101895.1	ENSMUST00000190863.1	-2261
chr1	64791702	64791888	187	*	3' UTR	1	64785983	64956824	170842	2	ENSMUSG00000051344.13	ENSMUST00000139649.7	164936
chr1	66177910	66178958	1049	*	Promoter (2-3kb)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	2637
chr1	66198963	66199163	201	*	Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 1 of 4)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	23690
chr1	66277782	66277999	218	*	Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 2 of 4)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	102509
chr1	66292156	66293490	1335	*	Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 2 of 4)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	116883
chr1	66323271	66325084	1814	*	Exon (ENSMUST00000147494.1/ENSMUSG00000073656.4, exon 3 of 3)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	147998
chr1	66340376	66341732	1357	*	Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 3 of 4)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	165103
chr1	66369335	66369505	171	*	Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 4 of 4)	1	66175273	66380617	205345	1	ENSMUSG00000015222.18	ENSMUST00000156636.8	194062
chr1	66395569	66395859	291	*	Intron (ENSMUST00000114017.7/ENSMUSG00000015222.18, intron 6 of 14)	1	66175313	66442028	266716	1	ENSMUSG00000015222.18	ENSMUST00000114017.7	220256
chr1	69685769	69686033	265	*	Promoter (<=1kb)	1	69531214	69685821	154608	2	ENSMUSG00000025997.13	ENSMUST00000027146.8	0
chr1	70480330	70480496	167	*	Intron (ENSMUST00000065425.11/ENSMUSG00000053153.14, intron 15 of 16)	1	69826988	70725132	898145	1	ENSMUSG00000053153.14	ENSMUST00000065425.11	653342
chr1	72372087	72373738	1652	*	Intron (ENSMUST00000027379.9/ENSMUSG00000026187.9, intron 16 of 20)	1	72307427	72394952	87526	1	ENSMUSG00000026187.9	ENSMUST00000027379.9	64660
chr1	74856308	74857642	1335	*	3' UTR	1	74850895	74879953	29059	1	ENSMUSG00000089964.1	ENSMUST00000159627.1	5413
chr1	74858713	74858896	184	*	Intron (ENSMUST00000159627.1/ENSMUSG00000089964.1, intron 2 of 3)	1	74850895	74879953	29059	1	ENSMUSG00000089964.1	ENSMUST00000159627.1	7818
chr1	75559347	75559506	160	*	3' UTR	1	75546266	75562172	15907	1	ENSMUSG00000006576.16	ENSMUST00000124341.7	13081
chr1	77496516	77496681	166	*	Exon (ENSMUST00000184495.1/ENSMUSG00000099141.1, exon 1 of 1)	1	77367185	77515088	147904	2	ENSMUSG00000026235.14	ENSMUST00000027451.12	18407
chr1	77502758	77502954	197	*	Intron (ENSMUST00000027451.12/ENSMUSG00000026235.14, intron 3 of 17)	1	77367185	77515088	147904	2	ENSMUSG00000026235.14	ENSMUST00000027451.12	12134
chr1	81098569	81098728	160	*	Intron (ENSMUST00000137862.7/ENSMUSG00000054976.14, intron 3 of 6)	1	81076950	81298934	221985	1	ENSMUSG00000054976.14	ENSMUST00000137862.7	21619
chr1	83405903	83406076	174	*	Promoter (2-3kb)	1	83254139	83408200	154062	2	ENSMUSG00000026163.17	ENSMUST00000160953.7	2124
chr1	84286426	84286575	150	*	Intron (ENSMUST00000176559.7/ENSMUSG00000045658.16, intron 1 of 2)	1	84037231	84336173	298943	2	ENSMUSG00000045658.16	ENSMUST00000176559.7	49598
chr1	84320955	84321984	1030	*	Intron (ENSMUST00000176559.7/ENSMUSG00000045658.16, intron 1 of 2)	1	84037231	84336173	298943	2	ENSMUSG00000045658.16	ENSMUST00000176559.7	14189
chr1	84838244	84838421	178	*	Promoter (<=1kb)	1	84721189	84839304	118116	2	ENSMUSG00000026219.14	ENSMUST00000027421.12	883
chr1	86379273	86379453	181	*	Promoter (<=1kb)	1	86377100	86378276	1177	2	ENSMUSG00000110510.1	ENSMUST00000212977.1	-997
chr1	86528754	86528914	161	*	Promoter (2-3kb)	1	86526726	86530712	3987	1	ENSMUSG00000026238.14	ENSMUST00000045897.14	2028
chr1	87371223	87371388	166	*	Intron (ENSMUST00000027475.14/ENSMUSG00000048000.15, intron 5 of 28)	1	87327003	87450796	123794	1	ENSMUSG00000048000.15	ENSMUST00000027475.14	44220
chr1	87813494	87813749	256	*	Intron (ENSMUST00000156381.7/ENSMUSG00000056055.13, intron 4 of 5)	1	87803680	87817863	14184	1	ENSMUSG00000056055.13	ENSMUST00000156381.7	9814
chr1	88657862	88658046	185	*	Promoter (1-2kb)	1	88656308	88658100	1793	1	ENSMUSG00000100367.1	ENSMUST00000186042.1	1554
chr1	92011251	92011489	239	*	Intron (ENSMUST00000097644.8/ENSMUSG00000026313.16, intron 5 of 26)	1	91928779	92180341	251563	2	ENSMUSG00000026313.16	ENSMUST00000097644.8	168852
chr1	92083282	92084481	1200	*	Intron (ENSMUST00000097644.8/ENSMUSG00000026313.16, intron 2 of 26)	1	91928779	92180341	251563	2	ENSMUSG00000026313.16	ENSMUST00000097644.8	95860
chr1	92179399	92180105	707	*	Promoter (<=1kb)	1	91928779	92180341	251563	2	ENSMUSG00000026313.16	ENSMUST00000097644.8	236
chr1	93635439	93635712	274	*	Promoter (<=1kb)	1	93621902	93635629	13728	2	ENSMUSG00000026277.14	ENSMUST00000151068.7	0
chr1	97887207	97887366	160	*	Intron (ENSMUST00000058762.14/ENSMUSG00000026335.16, intron 12 of 25)	1	97821094	98095621	274528	2	ENSMUSG00000026335.16	ENSMUST00000058762.14	208255
chr1	97977573	97977786	214	*	Intron (ENSMUST00000058762.14/ENSMUSG00000026335.16, intron 1 of 25)	1	97821094	98095621	274528	2	ENSMUSG00000026335.16	ENSMUST00000058762.14	117835
chr1	98002156	98003514	1359	*	Intron (ENSMUST00000058762.14/ENSMUSG00000026335.16, intron 1 of 25)	1	97821094	98095621	274528	2	ENSMUSG00000026335.16	ENSMUST00000058762.14	92107
chr1	98046735	98048566	1832	*	Promoter (<=1kb)	1	98031127	98047759	16633	2	ENSMUSG00000089706.7	ENSMUST00000159324.7	0
chr1	98065678	98066018	341	*	Intron (ENSMUST00000058762.14/ENSMUSG00000026335.16, intron 1 of 25)	1	97821094	98095621	274528	2	ENSMUSG00000026335.16	ENSMUST00000058762.14	29603
chr1	98189182	98190260	1079	*	Exon (ENSMUST00000189232.1/ENSMUSG00000100711.1, exon 4 of 4)	1	98173648	98190698	17051	1	ENSMUSG00000100711.1	ENSMUST00000189232.1	15534
chr1	105991978	105992130	153	*	Promoter (1-2kb)	1	105990406	106034074	43669	1	ENSMUSG00000038866.15	ENSMUST00000118196.7	1572
chr1	106172891	106173502	612	*	Promoter (1-2kb)	1	106171752	106394250	222499	1	ENSMUSG00000044340.7	ENSMUST00000061047.6	1139
chr1	106174757	106174978	222	*	Intron (ENSMUST00000061047.6/ENSMUSG00000044340.7, intron 1 of 16)	1	106171752	106394250	222499	1	ENSMUSG00000044340.7	ENSMUST00000061047.6	3005
chr1	106242518	106243449	932	*	Intron (ENSMUST00000061047.6/ENSMUSG00000044340.7, intron 1 of 16)	1	106171752	106394250	222499	1	ENSMUSG00000044340.7	ENSMUST00000061047.6	70766
chr1	118438198	118438511	314	*	Intron (ENSMUST00000049404.12/ENSMUSG00000064302.13, intron 2 of 39)	1	118389058	118609432	220375	1	ENSMUSG00000064302.13	ENSMUST00000049404.12	49140
chr1	120116054	120116243	190	*	Exon (ENSMUST00000135937.1/ENSMUSG00000026385.16, exon 3 of 3)	1	120113280	120121078	7799	2	ENSMUSG00000026385.16	ENSMUST00000027634.12	4835
chr1	128031101	128031533	433	*	Intron (ENSMUST00000086614.11/ENSMUSG00000036086.16, intron 6 of 20)	1	127954184	128102462	148279	2	ENSMUSG00000036086.16	ENSMUST00000086614.11	70929
chr1	131482273	131483422	1150	*	Intron (ENSMUST00000097588.8/ENSMUSG00000026425.15, intron 2 of 22)	1	131285251	131527347	242097	2	ENSMUSG00000026425.15	ENSMUST00000097588.8	43925
chr1	131521966	131522663	698	*	Intron (ENSMUST00000097588.8/ENSMUSG00000026425.15, intron 2 of 22)	1	131285251	131527347	242097	2	ENSMUSG00000026425.15	ENSMUST00000097588.8	4684
chr1	132739062	132739234	173	*	Promoter (2-3kb)	1	132564690	132741757	177068	2	ENSMUSG00000026442.14	ENSMUST00000094569.10	2523
chr1	132740332	132740575	244	*	Promoter (1-2kb)	1	132564690	132741757	177068	2	ENSMUSG00000026442.14	ENSMUST00000094569.10	1182
chr1	133025204	133025382	179	*	Promoter (<=1kb)	1	132959484	133025338	65855	2	ENSMUSG00000054387.13	ENSMUST00000186617.6	0
chr1	134867059	134867269	211	*	Intron (ENSMUST00000045665.12/ENSMUSG00000073557.12, intron 12 of 23)	1	134754658	134955940	201283	2	ENSMUSG00000073557.12	ENSMUST00000045665.12	88671
chr1	136144041	136144320	280	*	Intron (ENSMUST00000075164.10/ENSMUSG00000041642.18, intron 1 of 34)	1	136131389	136177998	46610	1	ENSMUSG00000041642.18	ENSMUST00000075164.10	12652
chr1	136333011	136333236	226	*	Exon (ENSMUST00000194730.1/ENSMUSG00000041570.14, exon 2 of 3)	1	136268123	136346104	77982	2	ENSMUSG00000041570.14	ENSMUST00000048309.11	12868
chr1	138654036	138654217	182	*	Intron (ENSMUST00000190707.6/ENSMUSG00000100459.6, intron 3 of 4)	1	138640095	138682077	41983	2	ENSMUSG00000100459.6	ENSMUST00000190707.6	27860
chr1	143739619	143740009	391	*	Promoter (<=1kb)	1	143739646	143747309	7664	1	ENSMUSG00000018196.18	ENSMUST00000050491.10	0
chr1	144166372	144166707	336	*	Intron (ENSMUST00000052375.7/ENSMUSG00000051079.8, intron 4 of 5)	1	144138654	144177372	38719	2	ENSMUSG00000051079.8	ENSMUST00000052375.7	10665
chr1	152817015	152817964	950	*	Exon (ENSMUST00000186568.6/ENSMUSG00000026480.12, exon 4 of 16)	1	152800194	152836991	36798	1	ENSMUSG00000026480.12	ENSMUST00000186568.6	16821
chr1	153540425	153540609	185	*	Intron (ENSMUST00000041874.8/ENSMUSG00000042684.8, intron 2 of 11)	1	153503015	153550045	47031	2	ENSMUSG00000042684.8	ENSMUST00000041874.8	9436
chr1	154102370	154102553	184	*	Intron (ENSMUST00000185465.6/ENSMUSG00000100627.6, intron 2 of 2)	1	154037597	154116153	78557	2	ENSMUSG00000100627.6	ENSMUST00000185465.6	13600
chr1	154834692	154835160	469	*	Intron (ENSMUST00000211821.1/ENSMUSG00000004110.17, intron 1 of 46)	1	154398393	154864067	465675	2	ENSMUSG00000004110.17	ENSMUST00000211821.1	28907
chr1	156450164	156450345	182	*	Intron (ENSMUST00000189661.6/ENSMUSG00000026600.12, intron 3 of 15)	1	156424525	156474331	49807	2	ENSMUSG00000026600.12	ENSMUST00000189661.6	23986
chr1	160149088	160149247	160	*	Intron (ENSMUST00000039178.11/ENSMUSG00000026725.17, intron 1 of 21)	1	160085029	160153580	68552	2	ENSMUSG00000026725.17	ENSMUST00000039178.11	4333
chr1	164332612	164332761	150	*	Exon (ENSMUST00000193808.5/ENSMUSG00000026575.15, exon 6 of 16)	1	164304121	164437725	133605	1	ENSMUSG00000026575.15	ENSMUST00000193808.5	28491
chr1	164394871	164395090	220	*	Intron (ENSMUST00000193808.5/ENSMUSG00000026575.15, intron 13 of 15)	1	164304121	164437725	133605	1	ENSMUSG00000026575.15	ENSMUST00000193808.5	90750
chr1	164406596	164407265	670	*	Intron (ENSMUST00000193808.5/ENSMUSG00000026575.15, intron 14 of 15)	1	164304121	164437725	133605	1	ENSMUSG00000026575.15	ENSMUST00000193808.5	102475
chr1	164705747	164706287	541	*	Exon (ENSMUST00000192040.1/ENSMUSG00000102163.1, exon 3 of 3)	1	164705419	164712513	7095	2	ENSMUSG00000102163.1	ENSMUST00000192040.1	6226
chr1	164926442	164926671	230	*	Intron (ENSMUST00000194322.1/ENSMUSG00000104117.5, intron 2 of 3)	1	164863358	164936775	73418	1	ENSMUSG00000104117.5	ENSMUST00000194322.1	63084
chr1	165091329	165092486	1158	*	Promoter (<=1kb)	1	165066617	165091928	25312	2	ENSMUSG00000102408.1	ENSMUST00000195635.1	0
chr1	168168904	168169097	194	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 7 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	263173
chr1	168247195	168247352	158	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 2 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	184918
chr1	168356766	168357019	254	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 2 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	75251
chr1	168359139	168359325	187	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 2 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	72945
chr1	168364215	168364413	199	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 2 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	67857
chr1	168390982	168393702	2721	*	Intron (ENSMUST00000188912.6/ENSMUSG00000052534.15, intron 2 of 7)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	38568
chr1	168427236	168427462	227	*	Exon (ENSMUST00000176791.1/ENSMUSG00000052534.15, exon 2 of 2)	1	168119364	168432270	312907	2	ENSMUSG00000052534.15	ENSMUST00000188912.6	4808
chr1	170485876	170486145	270	*	Intron (ENSMUST00000160456.7/ENSMUSG00000038473.14, intron 2 of 9)	1	170317459	170589861	272403	2	ENSMUSG00000038473.14	ENSMUST00000160456.7	103716
chr1	172271367	172271578	212	*	Intron (ENSMUST00000155363.7/ENSMUSG00000038034.15, intron 1 of 1)	1	172261641	172292725	31085	1	ENSMUSG00000038034.15	ENSMUST00000155363.7	9726
chr1	174502936	174503181	246	*	Promoter (1-2kb)	1	174501825	174822729	320905	1	ENSMUSG00000028354.13	ENSMUST00000030039.12	1111
chr1	175239709	175239999	291	*	Intron (ENSMUST00000194555.5/ENSMUSG00000026527.13, intron 3 of 17)	1	175059087	175492500	433414	2	ENSMUSG00000026527.13	ENSMUST00000194555.5	252501
chr1	175297361	175298487	1127	*	Intron (ENSMUST00000194555.5/ENSMUSG00000026527.13, intron 2 of 17)	1	175059087	175492500	433414	2	ENSMUSG00000026527.13	ENSMUST00000194555.5	194013
chr1	175385110	175385282	173	*	Intron (ENSMUST00000194555.5/ENSMUSG00000026527.13, intron 2 of 17)	1	175059087	175492500	433414	2	ENSMUSG00000026527.13	ENSMUST00000194555.5	107218
chr1	175448547	175448716	170	*	Intron (ENSMUST00000194555.5/ENSMUSG00000026527.13, intron 2 of 17)	1	175059087	175492500	433414	2	ENSMUSG00000026527.13	ENSMUST00000194555.5	43784
chr1	176933521	176933736	216	*	Intron (ENSMUST00000133305.7/ENSMUSG00000026504.17, intron 14 of 16)	1	176814660	176956360	141701	1	ENSMUSG00000026504.17	ENSMUST00000133305.7	118861
chr1	177125709	177125861	153	*	Intron (ENSMUST00000019843.14/ENSMUSG00000019699.16, intron 2 of 12)	1	177020073	177248805	228733	2	ENSMUSG00000019699.16	ENSMUST00000019843.14	122944
chr1	177255447	177255726	280	*	Promoter (2-3kb)	1	177022116	177258203	236088	2	ENSMUSG00000019699.16	ENSMUST00000111159.1	2477
chr1	178335895	178336468	574	*	Promoter (<=1kb)	1	178335642	178336405	764	2	ENSMUSG00000039630.10	ENSMUST00000134291.1	0
chr1	179436214	179437542	1329	*	Intron (ENSMUST00000128302.7/ENSMUSG00000055067.15, intron 1 of 11)	1	178951960	179518034	566075	2	ENSMUSG00000055067.15	ENSMUST00000128302.7	80492
chr1	179958995	179959176	182	*	Promoter (1-2kb)	1	179960472	180163156	202685	1	ENSMUSG00000026490.18	ENSMUST00000097453.8	-1296
chr1	181150994	181151468	475	*	Exon (ENSMUST00000111059.1/ENSMUSG00000062169.13, exon 1 of 4)	1	181144693	181166248	21556	1	ENSMUSG00000062169.13	ENSMUST00000193907.5	6301
chr1	181976510	181976673	164	*	Intron (ENSMUST00000193703.5/ENSMUSG00000022995.16, intron 1 of 13)	1	181896384	182019661	123278	2	ENSMUSG00000022995.16	ENSMUST00000193703.5	42988
chr1	181980114	181981479	1366	*	Intron (ENSMUST00000193703.5/ENSMUSG00000022995.16, intron 1 of 13)	1	181896384	182019661	123278	2	ENSMUSG00000022995.16	ENSMUST00000193703.5	38182
chr1	182331525	182331691	167	*	Intron (ENSMUST00000051431.9/ENSMUSG00000047539.9, intron 1 of 4)	1	182313102	182341618	28517	2	ENSMUSG00000047539.9	ENSMUST00000051431.9	9927
chr1	183345084	183345926	843	*	Promoter (<=1kb)	1	183326725	183345296	18572	2	ENSMUSG00000056050.13	ENSMUST00000109158.8	0
chr1	185201422	185201759	338	*	Promoter (2-3kb)	1	185204117	185284185	80069	1	ENSMUSG00000039318.12	ENSMUST00000194740.5	-2358
chr1	191224477	191225134	658	*	Promoter (<=1kb)	1	191224454	191225835	1382	1	ENSMUSG00000073478.6	ENSMUST00000139056.2	23
chr1	191397278	191397986	709	*	Promoter (1-2kb)	1	191372571	191399299	26729	2	ENSMUSG00000026626.11	ENSMUST00000195859.1	1313
chr1	194623891	194624069	179	*	Intron (ENSMUST00000027952.11/ENSMUSG00000026640.12, intron 1 of 31)	1	194619825	194816869	197045	1	ENSMUSG00000026640.12	ENSMUST00000027952.11	4066
chr10	4884806	4886799	1994	*	Intron (ENSMUST00000149195.7/ENSMUSG00000019768.16, intron 6 of 7)	10	4611593	4893083	281491	1	ENSMUSG00000019768.16	ENSMUST00000149195.7	273213
chr10	9976142	9976365	224	*	Promoter (<=1kb)	10	9976627	10151476	174850	1	ENSMUSG00000101621.2	ENSMUST00000186088.1	-262
